ID,label,sex,age,edu_lv,credit_rec,inc,loan_suc,repay_suc,repay_time,dlqin0,loan_position,remen_mun,max_loan,max_debt
7137,0,1,23,1,2,2,1,3,3,0,1200,0,1200,1307.97
7138,0,0,21,1,2,2,4,15,11,4,7100,1970.38,3000,3807.33
7139,0,1,35,1,2,3,11,88,78,9,37253,4079.69,6000,9597.41
7140,0,0,29,2,2,3,5,22,22,0,25937,7656.53,14100,16152.6
7141,0,1,22,1,2,3,10,35,33,2,11556,2737.34,2000,3589.76
7142,0,0,24,2,2,2,5,48,24,22,13750,0,7000,10310.91
7143,0,0,34,1,2,5,1,3,3,0,6000,6094.71,6000,8126.28
7144,0,0,29,1,2,2,11,90,62,24,40548,5761.96,9117,13784.35
7145,0,1,30,2,2,5,7,46,28,14,21305,7188.53,6305,14480.24
7146,0,0,20,1,0,3,2,13,13,0,2812,1209,2000,2399.64
7147,0,1,28,1,2,2,3,10,10,0,2823,0,1000,1163.33
7148,0,1,32,2,2,5,2,6,6,0,9500,2474.61,5000,5866.95
7149,0,1,25,2,2,3,1,2,1,1,6000,4720,6000,7117.64
7150,0,0,25,1,1,3,17,100,98,2,63510,11092.71,15141,19902.54
7151,0,1,18,1,2,2,1,2,2,0,500,0,500,544.96
7152,0,1,41,1,2,4,0,0,0,0,0,0,0,0
